,分词,分词索引化
0,"['王力', '安防', '监事会', '公司', '年', '限制性', '股票', '激励', '计划', '激励', '对象', '名单', '核查', '意见', '公示', '情况', '说明']","[87383, 64297, 122159, 225, 50, 70711, 2913, 5596, 887, 5596, 1679, 6657, 41698, 2497, 34343, 394, 778]"
1,"['天津', '普林', '公司', '银行', '申请', '综合', '授信额度']","[3791, 132173, 225, 1432, 1863, 2450, 198692]"
2,"['拓山', '盘中', '临时', '停牌']","[0, 38897, 3922, 49097]"
3,"['深交所', '监管', '函正邦', '科技']","[123431, 4408, 0, 1140]"
4,"['天津', '普林', '独立', '董事', '第六届', '董事会', '第十次', '会议', '相关', '事项', '事前', '认可', '意见']","[3791, 132173, 988, 25899, 0, 22872, 0, 3764, 530, 15891, 17110, 2895, 2497]"
5,"['天津', '普林', '第六届', '监事会', '第七次', '会议', '决议']","[3791, 132173, 0, 122159, 0, 3764, 17912]"
6,"['天津', '普林', '开展', '外汇', '衍生品', '交易', '可行性', '分析', '报告']","[3791, 132173, 5714, 11201, 26079, 2175, 16673, 664, 1950]"
7,"['天津', '普林', '独立', '董事', '第六届', '董事会', '第十次', '会议', '相关', '事项', '独立', '意见']","[3791, 132173, 988, 25899, 0, 22872, 0, 3764, 530, 15891, 988, 2497]"
8,"['天津', '普林', '开展', '外汇', '衍生品', '交易', '业务', '暨', '关联', '交易']","[3791, 132173, 5714, 11201, 26079, 2175, 1915, 40297, 6328, 2175]"
9,"['天津', '普林', '第六届', '董事会', '第十次', '会议', '决议']","[3791, 132173, 0, 22872, 0, 3764, 17912]"
10,"['天津', '普林', '召开', '年', '第二次', '临时', '股东大会', '通知']","[3791, 132173, 9061, 50, 0, 3922, 70603, 3506]"
11,"['广东', '鸿图', '公司', '年', '第一期', '员工', '持股', '计划', '减持', '完毕']","[3984, 170941, 225, 50, 0, 1536, 31043, 887, 65453, 6512]"
12,"['东方', '通', '第一', '创业', '证券', '承销', '保荐', '有限责任', '公司', '北京东方', '通', '科技股份', '有限公司', '特定', '对象', '发行', '股', '股票', '证券', '发行', '保荐', '书']","[3729, 3609, 162, 1442, 9932, 104523, 148681, 148363, 225, 203622, 3609, 176683, 11426, 3850, 1679, 5698, 1701, 2913, 9932, 5698, 148681, 473]"
13,"['东方', '通', '特定', '对象', '发行股票', '申请', '获得', '深圳证券交易所', '受理']","[3729, 3609, 3850, 1679, 138888, 1863, 512, 183356, 22026]"
14,"['东方', '通', '北京东方', '通', '科技股份', '有限公司', '最近', '一年', '财务报告', '审计报告', '最近', '一期', '财务报告']","[3729, 3609, 203622, 3609, 176683, 11426, 834, 0, 120550, 132905, 834, 6298, 120550]"
15,"['东方', '通', '第一', '创业', '证券', '承销', '保荐', '有限责任', '公司', '北京东方', '通', '科技股份', '有限公司', '特定', '对象', '发行', '股', '股票', '上市', '保荐', '书']","[3729, 3609, 162, 1442, 9932, 104523, 148681, 148363, 225, 203622, 3609, 176683, 11426, 3850, 1679, 5698, 1701, 2913, 4775, 148681, 473]"
16,"['东方', '通', '北京', '国枫', '律师', '事务所', '北京东方', '通', '科技股份', '有限公司', '申请', '特定', '对象', '发行股票', '法律', '意见书']","[3729, 3609, 497, 0, 3618, 25653, 203622, 3609, 176683, 11426, 1863, 3850, 1679, 138888, 799, 92352]"
17,"['东方', '通', '北京东方', '通', '科技股份', '有限公司', '特定', '对象', '发行', '股', '股票', '募集', '说明书', '申报', '稿']","[3729, 3609, 203622, 3609, 176683, 11426, 3850, 1679, 5698, 1701, 2913, 25802, 15235, 22090, 8018]"
18,"['淮河', '能源', '集团股份', '有限公司', '简式', '权益', '变动', '报告书']","[27355, 3856, 163991, 11426, 187888, 6385, 10548, 80574]"
19,"['淮河', '能源', '集团股份', '有限公司', '本次', '交易', '采取', '保密', '措施', '保密制度', '说明']","[27355, 3856, 163991, 11426, 10165, 2175, 2726, 10332, 4417, 118696, 778]"
20,"['淮河', '能源', '集团股份', '有限公司', '董事会', '本次', '交易', '符合']","[27355, 3856, 163991, 11426, 22872, 10165, 2175, 1371]"
21,"['淮河', '能源', '集团股份', '有限公司', '独立', '董事', '评估', '机构', '独立性', '评估', '假设', '前提', '合理性', '评估', '方法', '评估', '目的', '相关性', '评估', '定价', '公允', '性', '独立', '意见']","[27355, 3856, 163991, 11426, 988, 25899, 5808, 1712, 20641, 5808, 2505, 2513, 13654, 5808, 353, 5808, 969, 16940, 5808, 7943, 43398, 725, 988, 2497]"
22,"['淮河', '能源', '集团股份', '有限公司', '董事会', '本次', '交易', '符合']","[27355, 3856, 163991, 11426, 22872, 10165, 2175, 1371]"
23,"['淮河', '能源', '集团股份', '有限公司', '董事会', '本次', '交易', '不', '构成']","[27355, 3856, 163991, 11426, 22872, 10165, 2175, 10, 2791]"
24,"['淮南', '矿业集团', '有限责任', '公司', '朱集东', '煤矿', '采矿权', '评估', '报告']","[29881, 0, 148363, 225, 0, 15280, 227267, 5808, 1950]"
25,"['淮河', '能源', '集团股份', '有限公司', '拟', '吸收', '合并', '淮南', '矿业集团', '有限责任', '公司', '涉及', '淮南', '矿业集团', '有限责任', '公司', '股东', '全部', '权益', '价值', '项目', '资产', '评估', '报告']","[27355, 3856, 163991, 11426, 14685, 3218, 6686, 29881, 0, 148363, 225, 1852, 29881, 0, 148363, 225, 9250, 607, 6385, 889, 749, 2837, 5808, 1950]"
26,"['淮河', '能源', '集团股份', '有限公司']","[27355, 3856, 163991, 11426]"
27,"['淮河', '能源', '集团股份', '有限公司', '简式', '权益', '变动', '报告书']","[27355, 3856, 163991, 11426, 187888, 6385, 10548, 80574]"
28,"['淮河', '能源', '集团股份', '有限公司', '股东权益', '变动', '提示性']","[27355, 3856, 163991, 11426, 127282, 10548, 186770]"
