,公告日期,代码,公告标题,current_close,current_open,current_high,current_low,current_vol,next_close,up_or_down,pos_or_neg
0,2022-06-17,000007.SZ,全新关延期提交,7.08,6.9,7.08,6.78,112257.0,7.03,0,0
1,2022-06-17,000049.SZ,德赛电池关部分限制性股票回购注销完成,39.12,37.7,39.88,37.51,124082.0,41.21,1,0
2,2022-06-17,000159.SZ,国际实业关挂牌转房产子公司股权进展,5.95,5.94,6.03,5.9,104688.0,5.94,0,1
3,2022-06-17,000301.SZ,东方盛虹公开发行转换公司债券年踪评级报告,17.85,17.9,18.66,17.51,816942.0,17.59,-1,1
4,2022-06-17,000503.SZ,国新健康关召开年度股东大会提示性,8.77,8.62,8.79,8.41,142408.0,9.14,1,1
5,2022-06-17,000506.SZ,中润资源关召开年三次时股东大会通知中润资源独立董事关十届董事会六次会议审议事项独立意见中润资源年季度报告全文更正后,3.28,3.2,3.45,3.18,833956.0,3.2,-1,1
6,2022-06-17,000507.SZ,珠海港珠海港股份限公司年面专业投资公开发行续期公司债券期票面利率,6.23,6.2,6.28,6.11,161833.0,6.29,0,1
7,2022-06-17,000529.SZ,广弘控股广东广弘控股股份限公司关深圳证券交易关注函复函广弘控股独立董事关评估机构选聘评估机构独立性胜力评估假设评估结合理性公允性独立意见,6.79,6.93,6.96,6.68,180439.0,6.87,0,1
8,2022-06-17,000571.SZ,大洲关受理法院裁定不受理债权人申请公司破产清算,2.17,2.14,2.19,2.13,109601.0,2.09,-1,-1
9,2022-06-17,000584.SZ,工智股票交易异常波动,6.17,5.59,6.17,5.56,562952.0,6.02,-1,-1
10,2022-06-17,000616.SZ,海投独立董事关九届董事会十次会议相关事项独立意见海投国浩律师上海事务关海航投资年二次时股东大会法律意见书海投九届董事会十次会议决议海投关选举公司副董事长海投年二次时股东大会决议,1.5,1.49,1.5,1.48,65532.0,1.48,-1,1
11,2022-06-17,000627.SZ,天茂集团天茂集团股票交易异常波动,3.41,3.45,3.65,3.31,2421250.0,3.32,-1,-1
12,2022-06-17,000637.SZ,茂化实华关控股子公司参深圳益生堂生物企业限公司重整案深圳益生堂药业限公司重整案联合重整投资人遴选进展,5.18,4.67,5.18,4.66,289266.0,4.92,-1,1
13,2022-06-17,000657.SZ,中钨高新监事会关公司限制性股票激励计划预留授予激励象名单公示情况说明,15.59,15.21,16.02,14.97,228629.0,15.55,0,1
14,2022-06-17,000663.SZ,永安林业德恒上海律师事务关福建省永安林业集团股份限公司年三次时股东大会法律意见书永安林业年三次时股东大会决议永安林业年度股东大会资料永安林业关年度股东大会增加时提案暨股东大会补充通知,6.97,6.95,7.04,6.86,63131.0,7.08,1,1
15,2022-06-17,000685.SZ,中山公关注销募集资金专项账户,7.68,7.67,7.71,7.6,76811.5,7.65,0,-1
16,2022-06-17,000701.SZ,厦门信达厦门信达股份限公司外担保进展厦门信达北京观韬中茂厦门律师事务关厦门信达股份限公司二厦门信达厦门信达股份限公司章程厦门信达厦门信达股份限公司二厦门信达厦门信达股份限公司关回购注销部分限制性股票减少注册资暨通知债权人,6.12,6.12,6.2,6.03,90506.0,6.17,0,-1
17,2022-06-17,000778.SZ,新兴铸关新兴票面利率不调整投资回售实施办法三次提示性新兴铸新兴铸股份限公司年度踪评级报告,5.03,5.07,5.08,4.96,1011700.0,5.02,0,1
18,2022-06-17,000807.SZ,云铝股份云南铝业股份限公司关召开年度网上业绩说明会征集问题,11.11,11.08,11.22,10.85,1053450.0,10.6,-1,0
19,2022-06-17,000825.SZ,太钢不锈关限制性股票授予登记完成,5.65,5.67,5.67,5.55,683482.0,5.62,0,1
20,2022-06-17,000909.SZ,数源科技股票交易异常波动,10.66,11.0,11.39,10.61,769070.0,10.45,-1,-1
21,2022-06-17,000987.SZ,越秀金控广州越秀金融控股集团股份限公司年面专业投资公开发行公司债券期深圳证券交易上市,10.05,9.3,10.46,9.26,1071730.0,9.51,-1,1
22,2022-06-17,000998.SZ,隆平高科关长期服务计划期员工持股计划完成股票非交易户,17.14,17.1,17.17,16.81,223887.0,17.04,0,1
23,2022-06-17,001296.SZ,长江材料关选举四届监事会职工代表监事长江材料泰泰重庆律师事务关重庆长江造型材料集团股份限公司年三次时股东大会法律意见书长江材料年三次时股东大会决议长江材料关完成董事会监事会换届选举,31.36,30.62,32.01,30.62,21659.9,31.62,0,1
24,2022-06-17,001979.SZ,招商蛇口招商局蛇口工业区控股股份限公司年面专业投资公开发行公司债券二期更名招商蛇口招商局蛇口工业区控股股份限公司年面专业投资公开发行公司债券二期发行招商蛇口招商局蛇口工业区控股股份限公司年面专业投资公开发行公司债券二期募集说明书招商蛇口招商局蛇口工业区控股股份限公司年面专业投资公开发行公司债券二期募集说明书摘招商蛇口招商局蛇口工业区控股股份限公司年面专业投资公开发行公司债券二期信评级报告招商蛇口年度招商局蛇口工业区控股股份限公司信评级报告,12.21,12.22,12.44,12.14,478045.0,12.45,1,1
25,2022-06-17,002003.SZ,伟星股份七届董事会二十二次时会议决议补充,10.52,10.65,10.65,10.39,36674.7,10.78,1,1
26,2022-06-17,002052.SZ,洲股票交易异常波动,1.94,2.04,2.07,1.92,111672.0,1.95,0,-1
27,2022-06-17,002057.SZ,中钢天源七届董事会十三次时会议决议中钢天源独立董事关七届董事会十三次时会议独立意见中钢天源关董事长不再兼总理职务聘总理总工程师,9.98,9.43,10.15,9.28,440667.0,10.06,0,1
28,2022-06-17,002062.SZ,宏润建设关股东持公司部分股份解质押,6.4,6.42,6.46,6.27,532890.0,6.4,0,1
29,2022-06-17,002072.SZ,凯瑞关延期回复年年报问询函,5.17,5.26,5.32,5.15,36636.6,5.3,1,-1
30,2022-06-17,002094.SZ,青岛金王股票交易异常波动,4.17,4.9,4.9,4.1,1461950.0,4.27,1,-1
31,2022-06-17,002095.SZ,生意宝独立董事提名人声明陈德人生意宝关选举六届监事会职工代表监事,13.43,13.41,13.55,13.25,32015.7,13.4,0,1
32,2022-06-17,002102.SZ,冠福关控股股东关联方增持股份计划实施情况冠福关办公址投资热线电话变更,3.51,3.5,3.64,3.5,296218.0,3.43,-1,1
33,2022-06-17,002147.SZ,新光退关公司股票进入退市整理期交易五次风险提示,0.4,0.4,0.41,0.39,124364.0,0.37,-1,-1
34,2022-06-17,002219.SZ,恒康关恒康医疗调整权参考价格计算公式法律意见书恒康天风证券股份限公司关恒康医疗集团股份限公司调整资公积转增股权参考价格计算公式专项意见恒康关重整计划资公积金转增股票事项拟实施,3.24,3.15,3.3,3.15,125020.0,3.34,1,1
35,2022-06-17,002221.SZ,东华源东兴证券股份限公司关东华源股份限公司年面专业投资公开发行公司债券疫情防控债期时受托理事务报告,8.58,8.49,8.65,8.41,141353.0,8.75,1,1
36,2022-06-17,002229.SZ,鸿博股份关股东部分股份解押,6.32,6.25,6.4,6.12,130401.0,6.26,-1,1
37,2022-06-17,002308.SZ,威创股份关年限制性股票激励计划授予登记完成,3.77,3.82,3.83,3.71,125336.0,3.79,0,1
38,2022-06-17,002312.SZ,川发龙蟒独立董事关六届董事会二十四次会议相关事项事前认意见川发龙蟒独立董事关六届董事会二十四次会议相关事项独立意见川发龙蟒华泰联合证券关公司实施超额业绩奖励签署川发龙蟒六届董事会二十四次会议决议川发龙蟒六届监事会十八次会议决议川发龙蟒关中创新航科技股份限公司甘孜州圣洁甘孜投资发展限责公司眉山市产业投资限公司共投资设立合资公司川发龙蟒关实施超额业绩奖励签署,13.74,13.3,14.08,13.19,547062.0,13.41,-1,1
39,2022-06-17,002330.SZ,利斯关部分限制性股票回购注销完成,7.67,7.76,7.95,7.55,277451.0,7.74,0,0
40,2022-06-17,002341.SZ,新纶新材公司章程年月新纶新材关五届董事会四十次会议决议新纶新材董事会议事规年月新纶新材独立董事提名人声明熊政平新纶新材新纶新材独立董事关五届董事会四十次会议相关事项独立意见新纶新材关提名独立董事候选人新纶新材关公司董事辞职新纶新材关召开年二次时股东大会通知新纶新材独立董事提名人声明朱新纶新材独立董事候选人声明朱,4.72,4.74,4.86,4.66,313718.0,4.75,0,1
41,2022-06-17,002346.SZ,柘中股份简式权益变动报告书柘中股份关投资成立全资子公司柘中股份关持股,12.79,12.65,12.93,12.53,51225.0,13.24,1,1
42,2022-06-17,002362.SZ,汉王科技汉王科技投资关系理制度年月汉王科技汉王科技总裁工作细年月汉王科技汉王科技内幕信息知情人登记理制度年月汉王科技汉王科技募集资金理制度年月汉王科技汉王科技董事监事高级理人员持买卖公司股票理规定年月汉王科技关注销参股子公司暨关联交易汉王科技关召开年度二次时股东大会通知汉王科技汉王科技董事会秘书工作细年月汉王科技汉王科技外担保理办法年月汉王科技汉王科技关联交易决策制度年月汉王科技汉王科技监事会议事规年月汉王科技汉王科技董事会薪酬考核委员会实施细年月汉王科技汉王科技独立董事工作细年月汉王科技汉王科技公司章程年月汉王科技汉王科技规范关联方资金制度年月汉王科技汉王科技信息披露理办法年月汉王科技汉王科技外投资理办法年月汉王科技汉王科技六届监事会八次时会议决议汉王科技独立董事关六届董事会十四次时会议相关事项独立意见汉王科技独立董事关六届董事会十四次时会议相关事项事前认意见汉王科技汉王科技董事会审计委员会实施细年月汉王科技汉王科技六届董事会十四次时会议决议汉王科技汉王科技股东大会议事规年月汉王科技汉王科技内部审计制度年月汉王科技汉王科技董事会议事规年月汉王科技中国银河证券股份限公司关汉王科技股份限公司注销参股子公司暨关联交易核查意见,13.2,13.28,13.3,12.98,18304.0,14.0,1,1
43,2022-06-17,002377.SZ,国创高新关接受控股股东无偿财务资助国创高新独立董事关接受控股股东无偿财务资助事项独立意见,3.56,3.53,3.62,3.46,287260.0,3.81,1,1
44,2022-06-17,002384.SZ,东山精密年年度权益分派实施,19.52,19.82,19.99,18.99,456295.0,21.47,1,1
45,2022-06-17,002419.SZ,天虹股份关支持商户抗击疫情减免租金天虹股份独立董事关支持商户抗击疫情减免租金事项独立意见天虹股份天虹数科商业股份限公司外投资决策程序规年修订天虹股份五届董事会四十四次会议决议天虹股份天虹数科商业股份限公司股东大会议事规年修订天虹股份天虹数科商业股份限公司独立董事工作制度年修订天虹股份天虹数科商业股份限公司关联交易决策制度年修订,6.63,6.58,6.71,6.52,147476.0,6.77,1,1
46,2022-06-17,002422.SZ,科伦药业关子公司提供担保进展,18.92,18.61,19.02,18.59,100099.0,19.26,1,1
47,2022-06-17,002447.SZ,晨鑫退关公司股票退市整理期交易三次风险提示,0.2,0.21,0.22,0.2,523876.0,0.2,0,-1
48,2022-06-17,002482.SZ,广田集团关新增部分银行债务逾期,2.17,2.16,2.22,2.12,584706.0,2.16,0,0
49,2022-06-17,002490.SZ,山东墨龙关完成工商变更登记换领营业执,4.05,4.02,4.07,3.96,88252.0,4.01,-1,1
50,2022-06-17,002501.SZ,利源关延期回复深交年报问询函利源公司章程年月利源关修订利源独立董事关公司五届董事会五次会议相关事项独立意见利源五届董事会五次会议决议,2.14,2.14,2.2,2.12,155820.0,2.06,-1,1
51,2022-06-17,002510.SZ,天汽模天津汽车模具股份限公司公开发行转换公司债券年踪评级报告,4.12,4.02,4.17,3.99,467536.0,4.09,0,1
